WKT,Name,Beschreibung
"POINT (10.7713277 51.3013111)",Gundersleben,
"POINT (10.7293564 51.3350786)",Himmelsberg,
"POINT (10.7351984 51.3666273)",Immenrode,
"POINT (10.6534305 51.24660240000001)",Schlotheim,
"POINT (10.6802136 51.230843)",Marolterode,
"POINT (10.665866 51.2702179)",Mehrstedt,
"POINT (10.8736193 51.37019540000001)",Sondershausen,
"POINT (10.8710502 51.3691898)",Sondershausen Militär,
"POINT (10.8381311 51.3622892)",Bebra,
"POINT (10.8364675 51.37300750000001)",Jechaburg,
"POINT (10.8881875 51.3624717)",Jecha,
"POINT (10.9327247 51.34763460000001)",Berka,
"POINT (10.851524 51.3780862)",Stockhausen,
"POINT (10.9757575 51.40714249999999)",Badra,
"POINT (10.7928952 51.3890228)",Großfurra,
"POINT (10.6855526 51.32052969999999)",Toba,
"POINT (10.6521819 51.32820139999999)",Großbrüchter,
"POINT (10.6949868 51.29359290000001)",Holzsußra,
"POINT (10.6433212 51.3111751)",Kleinbrüchter,
"POINT (10.7144636 51.3074106)",Wiedermuth,
"POINT (10.9049712 51.28800769999999)",Westerengel,
"POINT (10.8577682 51.2683346)",Bliederstedt,
"POINT (10.9439288 51.2742496)",Feldengel,
"POINT (10.9513729 51.2948648)",Holzengel,
"POINT (10.9153811 51.2845843)",Kirchengel,
"POINT (10.8805869 51.2716722)",Otterstedt,
"POINT (11.433077 51.4237384)",Wolferstedt,
"POINT (11.4838562 51.43861030000001)",Einsdorf,
"POINT (11.3614142 51.4455595)",Einzingen,
"POINT (11.4616856 51.4363528)",Mittelhausen,
"POINT (11.4626187 51.4057402)",Winkel,
