WKT,Name,Beschreibung
"POINT (10.2497261 51.0884118)",Scherbda,
"POINT (10.429234 50.94423589999999)",Schönau,
"POINT (10.4256016 50.91312850000001)",Seebach,
"POINT (10.238538 51.02272290000001)",Spichra,
"POINT (10.2590861 50.9915714)",Stedtfeld,
"POINT (10.3777571 50.9904602)",Stockhausen,
"POINT (10.3109419 51.0042569)",Stregda,
"POINT (10.3943136 50.9186989)",Thal,
"POINT (10.1613389 50.9668144)",Unterellen,
"POINT (10.0570875 50.9541927)",Untersuhl,
"POINT (10.2955339 51.0358028)",Ütteroda,
"POINT (10.069535 50.8862462)",Vitzeroda,
"POINT (10.2058933 50.995664)",Wartha,
"POINT (10.4298007 50.9820071)",Wenigenlupnitz,
"POINT (12.0735741 50.5806845)",Arnsgrün,
"POINT (11.8989447 50.69901669999999)",Auma,
"POINT (12.1656629 50.7536313)",Berga,
"POINT (12.0481218 50.5690387)",Bernsgrün,
"POINT (12.1691047 50.6341026)",Caselwitz,
"POINT (12.1213656 50.7587573)",Clodra,
"POINT (12.1935567 50.7711727)",Culmitzsch,
"POINT (12.0751781 50.6080713)",Dobia,
"POINT (12.0165653 50.71422099999999)",Döhlen,
"POINT (12.1612392 50.72926649999999)",Eula,
"POINT (11.8929093 50.6296154)",Förthen,
"POINT (12.3442789 50.6996548)",Fraureuth,
"POINT (12.0936111 50.5712613)",Fröbersgrün,
"POINT (12.3036249 50.6719441)",Gottesgrün,
"POINT (12.2005141 50.65639960000001)",Greiz,
"POINT (12.1999352 50.74542659999999)",Großkundorf mit Sorge,
"POINT (11.8863014 50.71708109999999)",Gütterlitz,
"POINT (12.2584401 50.6750552)",Herrmannsgrün,
"POINT (12.0535264 50.7116023)",Hohenleuben,
"POINT (12.1343498 50.6134127)",Hohndorf,
"POINT (12.2105671 50.7148251)",Kleinreinsdorf,
"POINT (11.9474939 50.64881949999999)",Kleinwolschendorf,
"POINT (11.879754 50.67321980000001)",Krölpa,
"POINT (12.1093455 50.7065405)",Kühdorf mit Hainsberg,
"POINT (12.0947084 50.67953349999999)",Langenwetzendorf,
"POINT (11.9532676 50.6354431)",Langenwolschendorf,
"POINT (11.9624117 50.6147607)",Leitlitz,
"POINT (11.9709206 50.68966830000001)",Merkendorf,
"POINT (11.8969602 50.67618330000001)",Muntscha,
"POINT (12.0991205 50.6566246)",Naitschau,
"POINT (12.1490416 50.6971216)",Nitschareuth,
"POINT (11.8994673 50.6453281)",Pahren,
"POINT (11.9703444 50.6969609)",Piesigitz,
"POINT (12.039337 50.62543540000001)",Pöllwitz,
"POINT (12.2368904 50.6390709)",Reinsdorf,
"POINT (12.1239048 50.5815351)",Schönbach,
"POINT (11.9914159 50.7177867)",Staitz,
"POINT (11.9236718 50.6577686)",Stelzendorf,
"POINT (12.2393321 50.7179476)",Teichwolframsdorf,
"POINT (12.0233606 50.68360879999999)",Triebes,
"POINT (12.1340912 50.7172697)",Tschirma,
"POINT (11.8717177 50.71009129999999)",Untendorf,
"POINT (12.1895105 50.719665)",Waltersdorf,
